goods_receipt_id,purchase_order_id,receipt_date_key,product_id,supplier_id,warehouse_id,ordered_quantity,received_quantity,short_quantity,delay_days,is_on_time,is_in_full,is_otif
GR0000001,PO0000001,20170518,19,SUP014,WH_AM,4,4,0,0,1,1,1
GR0000002,PO0000002,20170531,19,SUP014,WH_AM,4,4,0,0,1,1,1
GR0000003,PO0000003,20170607,19,SUP014,WH_AM,4,4,0,0,1,1,1
GR0000004,PO0000004,20170620,19,SUP014,WH_AM,4,4,0,0,1,1,1
GR0000005,PO0000005,20170716,19,SUP014,WH_EU,6,6,0,4,0,1,0
GR0000006,PO0000006,20170717,19,SUP014,WH_EU,6,6,0,0,1,1,1
GR0000007,PO0000007,20170809,19,SUP014,WH_EU,6,6,0,0,1,1,1
GR0000008,PO0000008,20170908,19,SUP014,WH_EU,6,6,0,9,0,1,0
GR0000009,PO0000009,20170907,19,SUP014,WH_EU,6,5,1,0,1,0,0
GR0000010,PO0000010,20170508,24,SUP001,WH_AM,14,14,0,0,1,1,1
GR0000011,PO0000011,20170512,24,SUP001,WH_AM,14,14,0,0,1,1,1
GR0000012,PO0000012,20170530,24,SUP001,WH_AM,14,14,0,0,1,1,1
GR0000013,PO0000013,20170604,24,SUP001,WH_AM,14,14,0,0,1,1,1
GR0000014,PO0000014,20170619,24,SUP001,WH_AM,14,14,0,0,1,1,1
GR0000015,PO0000015,20170627,24,SUP001,WH_AM,14,14,0,0,1,1,1
GR0000016,PO0000016,20170630,24,SUP001,WH_EU,15,15,0,0,1,1,1
GR0000017,PO0000017,20170711,24,SUP001,WH_EU,15,15,0,0,1,1,1
GR0000018,PO0000018,20170718,24,SUP001,WH_EU,15,15,0,0,1,1,1
GR0000019,PO0000019,20170804,24,SUP001,WH_EU,15,15,0,0,1,1,1
GR0000020,PO0000020,20170813,24,SUP001,WH_EU,15,15,0,0,1,1,1
GR0000021,PO0000021,20170825,24,SUP001,WH_EU,15,15,0,0,1,1,1
GR0000022,PO0000022,20170908,24,SUP001,WH_EU,15,15,0,0,1,1,1
GR0000023,PO0000023,20170509,35,SUP006,WH_AM,5,5,0,0,1,1,1
GR0000024,PO0000024,20170517,35,SUP006,WH_AM,5,5,0,0,1,1,1
GR0000025,PO0000025,20170604,35,SUP006,WH_AM,5,5,0,0,1,1,1
GR0000026,PO0000026,20170612,35,SUP006,WH_AM,5,5,0,0,1,1,1
GR0000027,PO0000027,20170628,35,SUP006,WH_AM,5,5,0,0,1,1,1
GR0000028,PO0000028,20170703,35,SUP006,WH_EU,5,5,0,0,1,1,1
GR0000029,PO0000029,20170722,35,SUP006,WH_EU,5,5,0,0,1,1,1
GR0000030,PO0000030,20170730,35,SUP006,WH_EU,5,5,0,0,1,1,1
GR0000031,PO0000031,20170812,35,SUP006,WH_EU,5,5,0,0,1,1,1
