purchase_order_id,order_date_key,expected_receipt_date_key,actual_receipt_date_key,product_id,supplier_id,warehouse_id,ordered_quantity,received_quantity,unit_cost,purchase_order_value,received_value,delay_days,is_on_time,is_in_full,is_otif
PO0000001,20170503,20170518,20170518,19,SUP014,WH_AM,4,4,82.35,329.4,329.4,0,1,1,1
PO0000002,20170516,20170531,20170531,19,SUP014,WH_AM,4,4,82.35,329.4,329.4,0,1,1,1
PO0000003,20170523,20170607,20170607,19,SUP014,WH_AM,4,4,82.35,329.4,329.4,0,1,1,1
PO0000004,20170605,20170620,20170620,19,SUP014,WH_AM,4,4,82.35,329.4,329.4,0,1,1,1
PO0000005,20170627,20170712,20170716,19,SUP014,WH_EU,6,6,82.35,494.1,494.1,4,0,1,0
PO0000006,20170702,20170717,20170717,19,SUP014,WH_EU,6,6,82.35,494.1,494.1,0,1,1,1
PO0000007,20170725,20170809,20170809,19,SUP014,WH_EU,6,6,82.35,494.1,494.1,0,1,1,1
PO0000008,20170815,20170830,20170908,19,SUP014,WH_EU,6,6,82.35,494.1,494.1,9,0,1,0
PO0000009,20170823,20170907,20170907,19,SUP014,WH_EU,6,5,82.35,494.1,411.75,0,1,0,0
PO0000010,20170428,20170508,20170508,24,SUP001,WH_AM,14,14,51.8629,726.08,726.08,0,1,1,1
PO0000011,20170502,20170512,20170512,24,SUP001,WH_AM,14,14,51.8629,726.08,726.08,0,1,1,1
PO0000012,20170520,20170530,20170530,24,SUP001,WH_AM,14,14,51.8629,726.08,726.08,0,1,1,1
PO0000013,20170525,20170604,20170604,24,SUP001,WH_AM,14,14,51.8629,726.08,726.08,0,1,1,1
PO0000014,20170609,20170619,20170619,24,SUP001,WH_AM,14,14,51.8629,726.08,726.08,0,1,1,1
PO0000015,20170617,20170627,20170627,24,SUP001,WH_AM,14,14,51.8629,726.08,726.08,0,1,1,1
PO0000016,20170620,20170630,20170630,24,SUP001,WH_EU,15,15,51.8629,777.94,777.94,0,1,1,1
PO0000017,20170701,20170711,20170711,24,SUP001,WH_EU,15,15,51.8629,777.94,777.94,0,1,1,1
PO0000018,20170708,20170718,20170718,24,SUP001,WH_EU,15,15,51.8629,777.94,777.94,0,1,1,1
PO0000019,20170725,20170804,20170804,24,SUP001,WH_EU,15,15,51.8629,777.94,777.94,0,1,1,1
PO0000020,20170803,20170813,20170813,24,SUP001,WH_EU,15,15,51.8629,777.94,777.94,0,1,1,1
PO0000021,20170815,20170825,20170825,24,SUP001,WH_EU,15,15,51.8629,777.94,777.94,0,1,1,1
PO0000022,20170829,20170908,20170908,24,SUP001,WH_EU,15,15,51.8629,777.94,777.94,0,1,1,1
PO0000023,20170427,20170509,20170509,35,SUP006,WH_AM,5,5,107.71,538.55,538.55,0,1,1,1
PO0000024,20170505,20170517,20170517,35,SUP006,WH_AM,5,5,107.71,538.55,538.55,0,1,1,1
PO0000025,20170523,20170604,20170604,35,SUP006,WH_AM,5,5,107.71,538.55,538.55,0,1,1,1
PO0000026,20170531,20170612,20170612,35,SUP006,WH_AM,5,5,107.71,538.55,538.55,0,1,1,1
PO0000027,20170616,20170628,20170628,35,SUP006,WH_AM,5,5,107.71,538.55,538.55,0,1,1,1
PO0000028,20170621,20170703,20170703,35,SUP006,WH_EU,5,5,107.71,538.55,538.55,0,1,1,1
PO0000029,20170710,20170722,20170722,35,SUP006,WH_EU,5,5,107.71,538.55,538.55,0,1,1,1
PO0000030,20170718,20170730,20170730,35,SUP006,WH_EU,5,5,107.71,538.55,538.55,0,1,1,1
PO0000031,20170731,20170812,20170812,35,SUP006,WH_EU,5,5,107.71,538.55,538.55,0,1,1,1
PO0000032,20170815,20170827,20170827,35,SUP006,WH_EU,5,5,107.71,538.55,538.55,0,1,1,1
PO0000033,20170824,20170905,20170905,35,SUP006,WH_EU,5,5,107.71,538.55,538.55,0,1,1,1
PO0000034,20170906,20170918,20170918,35,SUP006,WH_EU,5,4,107.71,538.55,430.84,0,1,0,0
PO0000035,20150207,20150302,20150302,37,SUP020,WH_AM,36,36,22.8704,823.34,823.34,0,1,1,1
PO0000036,20150402,20150425,20150428,37,SUP020,WH_AM,36,32,22.8704,823.34,731.85,3,0,0,0
PO0000037,20150512,20150604,20150604,37,SUP020,WH_AM,36,31,22.8704,823.34,708.98,0,1,0,0
PO0000038,20160412,20160505,20160505,37,SUP020,WH_AM,36,34,22.8704,823.34,777.59,0,1,0,0
PO0000039,20160523,20160615,20160615,37,SUP020,WH_AM,36,31,22.8704,823.34,708.98,0,1,0,0
PO0000040,20160701,20160724,20160724,37,SUP020,WH_AM,36,32,22.8704,823.34,731.85,0,1,0,0
PO0000041,20160720,20160812,20160812,37,SUP020,WH_AM,36,33,22.8704,823.34,754.72,0,1,0,0
PO0000042,20170130,20170222,20170222,37,SUP020,WH_AM,36,33,22.8704,823.34,754.72,0,1,0,0
PO0000043,20170223,20170318,20170318,37,SUP020,WH_AM,36,31,22.8704,823.34,708.98,0,1,0,0
PO0000044,20170315,20170407,20170407,37,SUP020,WH_AM,36,36,22.8704,823.34,823.34,0,1,1,1
PO0000045,20151102,20151125,20151125,37,SUP020,WH_APAC,25,25,22.8704,571.76,571.76,0,1,1,1
PO0000046,20151121,20151214,20151214,37,SUP020,WH_APAC,25,21,22.8704,571.76,480.28,0,1,0,0
PO0000047,20151212,20160104,20160111,37,SUP020,WH_APAC,25,22,22.8704,571.76,503.15,7,0,0,0
PO0000048,20151227,20160119,20160125,37,SUP020,WH_APAC,25,25,22.8704,571.76,571.76,6,0,1,0
PO0000049,20160207,20160301,20160301,37,SUP020,WH_APAC,25,21,22.8704,571.76,480.28,0,1,0,0
PO0000050,20160228,20160322,20160322,37,SUP020,WH_APAC,25,22,22.8704,571.76,503.15,0,1,0,0
PO0000051,20160330,20160422,20160422,37,SUP020,WH_APAC,25,20,22.8704,571.76,457.41,0,1,0,0
PO0000052,20161021,20161113,20161113,37,SUP020,WH_APAC,25,25,22.8704,571.76,571.76,0,1,1,1
PO0000053,20170113,20170205,20170205,37,SUP020,WH_APAC,25,25,22.8704,571.76,571.76,0,1,1,1
PO0000054,20150625,20150718,20150718,37,SUP020,WH_EU,23,23,22.8704,526.02,526.02,0,1,1,1
PO0000055,20150720,20150812,20150819,37,SUP020,WH_EU,23,23,22.8704,526.02,526.02,7,0,1,0
PO0000056,20150818,20150910,20150910,37,SUP020,WH_EU,23,23,22.8704,526.02,526.02,0,1,1,1
PO0000057,20150917,20151010,20151010,37,SUP020,WH_EU,23,23,22.8704,526.02,526.02,0,1,1,1
PO0000058,20160831,20160923,20160923,37,SUP020,WH_EU,23,19,22.8704,526.02,434.54,0,1,0,0
PO0000059,20161001,20161024,20161031,37,SUP020,WH_EU,23,21,22.8704,526.02,480.28,7,0,0,0
PO0000060,20161114,20161207,20161207,37,SUP020,WH_EU,23,20,22.8704,526.02,457.41,0,1,0,0
PO0000061,20161210,20170102,20170102,37,SUP020,WH_EU,23,23,22.8704,526.02,526.02,0,1,1,1
PO0000062,20150124,20150221,20150221,44,SUP021,WH_AM,47,47,39.95,1877.65,1877.65,0,1,1,1
PO0000063,20150313,20150410,20150410,44,SUP021,WH_AM,47,42,39.95,1877.65,1677.9,0,1,0,0
PO0000064,20150330,20150427,20150430,44,SUP021,WH_AM,47,46,39.95,1877.65,1837.7,3,0,0,0
PO0000065,20150520,20150617,20150617,44,SUP021,WH_AM,47,47,39.95,1877.65,1877.65,0,1,1,1
PO0000066,20160427,20160525,20160604,44,SUP021,WH_AM,47,43,39.95,1877.65,1717.85,10,0,0,0
PO0000067,20160531,20160628,20160628,44,SUP021,WH_AM,47,47,39.95,1877.65,1877.65,0,1,1,1
PO0000068,20160715,20160812,20160812,44,SUP021,WH_AM,47,47,39.95,1877.65,1877.65,0,1,1,1
PO0000069,20170126,20170223,20170227,44,SUP021,WH_AM,47,47,39.95,1877.65,1877.65,4,0,1,0
PO0000070,20170321,20170418,20170418,44,SUP021,WH_AM,47,47,39.95,1877.65,1877.65,0,1,1,1
PO0000071,20170417,20170515,20170515,44,SUP021,WH_AM,47,47,39.95,1877.65,1877.65,0,1,1,1
PO0000072,20151108,20151206,20151207,44,SUP021,WH_APAC,25,25,39.95,998.75,998.75,1,0,1,0
PO0000073,20151213,20160110,20160117,44,SUP021,WH_APAC,25,25,39.95,998.75,998.75,7,0,1,0
PO0000074,20160124,20160221,20160221,44,SUP021,WH_APAC,25,25,39.95,998.75,998.75,0,1,1,1
PO0000075,20160215,20160314,20160314,44,SUP021,WH_APAC,25,25,39.95,998.75,998.75,0,1,1,1
PO0000076,20160314,20160411,20160411,44,SUP021,WH_APAC,25,25,39.95,998.75,998.75,0,1,1,1
PO0000077,20161008,20161105,20161105,44,SUP021,WH_APAC,25,25,39.95,998.75,998.75,0,1,1,1
