market,order_city,order_country,order_region,order_state,geography_ID,warehouse_ID
"USCA","Overland Park","Estados Unidos","US Center","Kansas",34,"WH_AM"
"USCA","Houston","Estados Unidos","US Center","Texas",137,"WH_AM"
"USCA","Columbus","Estados Unidos","US Center","Indiana",143,"WH_AM"
"USCA","Des Plaines","Estados Unidos","US Center","Illinois",147,"WH_AM"
"USCA","Elmhurst","Estados Unidos","US Center","Illinois",148,"WH_AM"
"USCA","Tulsa","Estados Unidos","US Center","Oklahoma",644,"WH_AM"
"USCA","Oswego","Estados Unidos","US Center","Illinois",877,"WH_AM"
"USCA","Saint Charles","Estados Unidos","US Center","Illinois",878,"WH_AM"
"USCA","Decatur","Estados Unidos","US Center","Illinois",880,"WH_AM"
"USCA","Grand Rapids","Estados Unidos","US Center","Michigan",890,"WH_AM"
"USCA","Round Rock","Estados Unidos","US Center","Texas",892,"WH_AM"
"USCA","Arlington","Estados Unidos","US Center","Texas",893,"WH_AM"
"USCA","Detroit","Estados Unidos","US Center","Michigan",896,"WH_AM"
"USCA","Minneapolis","Estados Unidos","US Center","Minnesota",897,"WH_AM"
"USCA","San Antonio","Estados Unidos","US Center","Texas",903,"WH_AM"
"USCA","Omaha","Estados Unidos","US Center","Nebraska",904,"WH_AM"
"USCA","Dallas","Estados Unidos","US Center","Texas",906,"WH_AM"
"USCA","Jackson","Estados Unidos","US Center","Michigan",908,"WH_AM"
"USCA","Chicago","Estados Unidos","US Center","Illinois",910,"WH_AM"
"USCA","Springfield","Estados Unidos","US Center","Misuri",1038,"WH_AM"
"USCA","Pharr","Estados Unidos","US Center","Texas",1042,"WH_AM"
"USCA","Wichita","Estados Unidos","US Center","Kansas",1045,"WH_AM"
"USCA","Fort Worth","Estados Unidos","US Center","Texas",1046,"WH_AM"
"USCA","Odessa","Estados Unidos","US Center","Texas",1049,"WH_AM"
"USCA","Amarillo","Estados Unidos","US Center","Texas",1055,"WH_AM"
"USCA","Frisco","Estados Unidos","US Center","Texas",1057,"WH_AM"
"USCA","Saint Louis","Estados Unidos","US Center","Misuri",1062,"WH_AM"
"USCA","Noblesville","Estados Unidos","US Center","Indiana",1130,"WH_AM"
"USCA","Broken Arrow","Estados Unidos","US Center","Oklahoma",1140,"WH_AM"
"USCA","Quincy","Estados Unidos","US Center","Illinois",1146,"WH_AM"
"USCA","Saint Paul","Estados Unidos","US Center","Minnesota",1147,"WH_AM"
"USCA","New Albany","Estados Unidos","US Center","Indiana",1149,"WH_AM"
"USCA","Superior","Estados Unidos","US Center","Wisconsin",1587,"WH_AM"
"USCA","Mesquite","Estados Unidos","US Center","Texas",1593,"WH_AM"
"USCA","Pasadena","Estados Unidos","US Center","Texas",1601,"WH_AM"
"USCA","Huntsville","Estados Unidos","US Center","Texas",1604,"WH_AM"
"USCA","Oak Park","Estados Unidos","US Center","Illinois",1614,"WH_AM"
"USCA","Wausau","Estados Unidos","US Center","Wisconsin",1615,"WH_AM"
"USCA","Fremont","Estados Unidos","US Center","Nebraska",1616,"WH_AM"
"USCA","Milwaukee","Estados Unidos","US Center","Wisconsin",1617,"WH_AM"
"USCA","Aurora","Estados Unidos","US Center","Illinois",1618,"WH_AM"
"USCA","Lakeville","Estados Unidos","US Center","Minnesota",1619,"WH_AM"
"USCA","Tyler","Estados Unidos","US Center","Texas",1687,"WH_AM"
"USCA","Portage","Estados Unidos","US Center","Indiana",1692,"WH_AM"
"USCA","Muskogee","Estados Unidos","US Center","Oklahoma",1709,"WH_AM"
"USCA","Olathe","Estados Unidos","US Center","Kansas",1713,"WH_AM"
"USCA","Lafayette","Estados Unidos","US Center","Indiana",1717,"WH_AM"
"USCA","Haltom City","Estados Unidos","US Center","Texas",1726,"WH_AM"
"USCA","Lincoln Park","Estados Unidos","US Center","Michigan",1749,"WH_AM"
"USCA","Oklahoma City","Estados Unidos","US Center","Oklahoma",1750,"WH_AM"
"USCA","El Paso","Estados Unidos","US Center","Texas",1778,"WH_AM"
"USCA","Rochester","Estados Unidos","US Center","Minnesota",1781,"WH_AM"
"USCA","Austin","Estados Unidos","US Center","Texas",1784,"WH_AM"
"USCA","Waco","Estados Unidos","US Center","Texas",1788,"WH_AM"
"USCA","Bolingbrook","Estados Unidos","US Center","Illinois",1789,"WH_AM"
"USCA","Freeport","Estados Unidos","US Center","Illinois",1846,"WH_AM"
"USCA","Edinburg","Estados Unidos","US Center","Texas",1902,"WH_AM"
"USCA","Indianapolis","Estados Unidos","US Center","Indiana",1905,"WH_AM"
"USCA","Grand Prairie","Estados Unidos","US Center","Texas",1907,"WH_AM"
"USCA","Garden City","Estados Unidos","US Center","Kansas",1910,"WH_AM"
"USCA","La Crosse","Estados Unidos","US Center","Wisconsin",1911,"WH_AM"
"USCA","Kenosha","Estados Unidos","US Center","Wisconsin",1921,"WH_AM"
"USCA","Richmond","Estados Unidos","US Center","Indiana",1922,"WH_AM"
"USCA","Green Bay","Estados Unidos","US Center","Wisconsin",1925,"WH_AM"
"USCA","Naperville","Estados Unidos","US Center","Illinois",1926,"WH_AM"
"USCA","Glenview","Estados Unidos","US Center","Illinois",1927,"WH_AM"
"USCA","Trenton","Estados Unidos","US Center","Michigan",1929,"WH_AM"
"USCA","Plano","Estados Unidos","US Center","Texas",1932,"WH_AM"
"USCA","Bloomington","Estados Unidos","US Center","Illinois",1938,"WH_AM"
"USCA","Texas City","Estados Unidos","US Center","Texas",1943,"WH_AM"
"USCA","Evanston","Estados Unidos","US Center","Illinois",1945,"WH_AM"
"USCA","La Porte","Estados Unidos","US Center","Indiana",1951,"WH_AM"
